,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
50,Nuno Espírito Santo,Goalkeeper,31,FC Porto,Liga NOS,Dinamo Moscow,Premier Liga,2005-2006,2500000.0,2500000
51,Takayuki Suzuki,Centre-Forward,29,Kashima Antlers,J1 League,Red Star,SuperLiga,2005-2006,2500000.0,2500000
52,Bakari Koné,Right Winger,23,FC Lorient,Ligue 2,OGC Nice,Ligue 1,2005-2006,2250000.0,2500000
53,Luciano Galletti,Right Winger,25,Real Zaragoza,LaLiga,Atlético Madrid,LaLiga,2005-2006,2000000.0,2500000
54,Nunes,Centre-Back,28,Braga,Liga NOS,RCD Mallorca,LaLiga,2005-2006,1500000.0,2500000
55,Mark González,Left Winger,20,Albacete,LaLiga2,Liverpool,Premier League,2005-2006,1500000.0,2500000
56,Ron Vlaar,Centre-Back,20,AZ Alkmaar,Eredivisie,Feyenoord,Eredivisie,2005-2006,1500000.0,2500000
57,Morten Skoubo,Centre-Forward,25,Bröndby IF,Superligaen,Real Sociedad,LaLiga,2005-2006,1250000.0,2500000
58,Jorge Luís,Left-Back,29,Braga,Liga NOS,Dinamo Moscow,Premier Liga,2005-2006,1000000.0,2500000
59,Bostjan Cesar,Centre-Back,22,Dinamo Zagreb,1.HNL,Marseille,Ligue 1,2005-2006,1000000.0,2500000
60,Quincy Owusu-Abeyie,Left Winger,19,Arsenal,Premier League,Spartak Moscow,Premier Liga,2005-2006,750000.0,2500000
61,Edixon Perea,Centre-Forward,21,Atl. Nacional, Colombia,G. Bordeaux,Ligue 1,2005-2006,6000000.0,2500000
62,Felipe,Left Winger,27,Fluminense,Série A,Al Sadd, Qatar,2005-2006,6000000.0,2500000
63,Federico Insúa,Attacking Midfield,25,Independiente,Torneo Final,Boca Juniors,Torneo Final,2005-2006,4500000.0,2480000
64,Naldo,Centre-Back,22,Juventude,Série A,Werder Bremen,1.Bundesliga,2005-2006,2750000.0,2400000
65,Garry O'Connor,Centre-Forward,22,Hibernian FC,Premiership,Loko Moscow,Premier Liga,2005-2006,2000000.0,2400000
66,Jhon Viáfara,Defensive Midfield,26,Once Caldas, Colombia,Portsmouth,Premier League,2005-2006,6000000.0,2400000
67,Lisandro López,Centre-Forward,22,Racing Club,Torneo Final,FC Porto,Liga NOS,2005-2006,5500000.0,2300000
68,Michael Brown,Central Midfield,28,Spurs,Premier League,Fulham,Premier League,2005-2006,3000000.0,2300000
69,Sören Larsen,Centre-Forward,23,Djurgarden,Allsvenskan,FC Schalke 04,1.Bundesliga,2005-2006,6000000.0,2300000
70,Nolberto Solano,Right Midfield,31,Aston Villa,Premier League,Newcastle,Premier League,2005-2006,5000000.0,2250000
71,Paul Konchesky,Left-Back,24,Charlton,Premier League,West Ham,Premier League,2005-2006,3500000.0,2250000
72,Diomansy Kamara,Right Winger,24,Modena,Serie B,West Brom,Premier League,2005-2006,2500000.0,2250000
73,Darren Carter,Central Midfield,21,Birmingham,Premier League,West Brom,Premier League,2005-2006,2250000.0,2250000
74,Marek Heinz,Centre-Forward,28,Bor. M'gladbach,1.Bundesliga,Galatasaray,Süper Lig,2005-2006,1500000.0,2250000
75,Damien Francis,Central Midfield,26,Norwich,Championship,Wigan,Premier League,2005-2006,550000.0,2250000
76,John Welsh,Central Midfield,21,Liverpool,Premier League,Hull City,Championship,2005-2006,250000.0,2250000
77,Gustavo Nery,Left-Back,27,Werder Bremen,1.Bundesliga,Corinthians,Série A,2005-2006,2500000.0,2200000
78,Adam Virgo,Centre-Back,22,Brighton,Championship,Celtic,Premiership,2005-2006,6000000.0,2200000
79,Ivica Dragutinovic,Centre-Back,29,Standard Liège,Jupiler Pro League,Sevilla FC,LaLiga,2005-2006,2500000.0,2100000
80,Santiago Solari,Left Midfield,28,Real Madrid,LaLiga,Inter,Serie A,2005-2006,7000000.0,2000000
81,Nuno Valente,Left-Back,30,FC Porto,Liga NOS,Everton,Premier League,2005-2006,5000000.0,2000000
82,Young-pyo Lee,Left-Back,28,PSV Eindhoven,Eredivisie,Spurs,Premier League,2005-2006,4000000.0,2000000
83,Rabiu Afolabi,Centre-Back,25,Austria Vienna,Bundesliga,FC Sochaux,Ligue 1,2005-2006,3800000.0,2000000
84,Tomasz Frankowski,Centre-Forward,31,Elche CF,LaLiga2,Wolves,Championship,2005-2006,3750000.0,2000000
85,Patrick Owomoyela,Right-Back,25,Arm. Bielefeld,1.Bundesliga,Werder Bremen,1.Bundesliga,2005-2006,3250000.0,2000000
86,João Alves,Central Midfield,24,Braga,Liga NOS,Sporting CP,Liga NOS,2005-2006,3000000.0,2000000
87,Sébastien Mazure,Centre-Forward,26,SM Caen,Ligue 2,Saint-Étienne,Ligue 1,2005-2006,3000000.0,2000000
88,Sasa Ilic,Central Midfield,27,Partizan,SuperLiga,Galatasaray,Süper Lig,2005-2006,3000000.0,2000000
89,Miguel Ángel,Defensive Midfield,26,Málaga CF,LaLiga,Real Betis,LaLiga,2005-2006,2000000.0,2000000
90,Chun-soo Lee,Second Striker,23,Real Sociedad,LaLiga,Ulsan," Korea, South",2005-2006,2000000.0,2000000
91,Martin Kamburov,Centre-Forward,25,Lok. Plovdiv, Bulgaria,Al Ahli, Qatar,2005-2006,2000000.0,2000000
92,Javier Arizmendi,Centre-Forward,21,Atlético Madrid,LaLiga,Dep. La Coruña,LaLiga,2005-2006,1500000.0,2000000
93,Marián Had,Centre-Back,23,Zbrojovka Brno,HET Liga,Loko Moscow,Premier Liga,2005-2006,1250000.0,2000000
94,Martin Andresen,Central Midfield,28,Stabaek IF,OBOS-ligaen,SK Brann,Eliteserien,2005-2006,1250000.0,2000000
95,Eldin Jakupovic,Goalkeeper,21,Grasshoppers,Super League,Loko Moscow,Premier Liga,2005-2006,750000.0,2000000
96,Anthony Seric,Left-Back,26,Lazio,Serie A,Panathinaikos,Super League,2005-2006,600000.0,2000000
97,Danny Gabbidon,Centre-Back,25,Cardiff,Championship,West Ham,Premier League,2005-2006,600000.0,2000000
98,James Collins,Centre-Back,21,Cardiff,Championship,West Ham,Premier League,2005-2006,600000.0,2000000
99,Júan,Attacking Midfield,23,Fluminense,Série A,Flamengo,Série A,2005-2006,250000.0,2000000
100,Heidar Helguson,Centre-Forward,27,Watford,Championship,Fulham,Premier League,2005-2006,200000.0,2000000
101,Pavel Pogrebnyak,Centre-Forward,22,Spartak Moscow,Premier Liga,Tom Tomsk,Premier Liga,2005-2006,50000.0,2000000
102,Ben Foster,Goalkeeper,22,Stoke City,Championship,Man Utd,Premier League,2005-2006,50000.0,2000000
103,Denis Kolodin,Centre-Back,23,KS Samara,Premier Liga,Dinamo Moscow,Premier Liga,2005-2006,6000000.0,2000000
104,Borges,Centre-Forward,25,Paraná,Série A,Vegalta Sendai,J2 League,2005-2006,6000000.0,2000000
105,Ognjen Koroman,Right Winger,26,KS Samara,Premier Liga,Akhmat Grozny,Premier Liga,2005-2006,6000000.0,2000000
106,Daniel Bilos,Left Midfield,24,CA Banfield,Torneo Final,Boca Juniors,Torneo Final,2005-2006,6000000.0,2000000
107,Mads Junker,Centre-Forward,24,Nordsjaelland,Superligaen,Vitesse,Eredivisie,2005-2006,6000000.0,2000000
108,Andriy Shevchenko,Centre-Forward,29,AC Milan,Serie A,Chelsea,Premier League,2006-2007,51000000.0,43300000
109,Michael Carrick,Defensive Midfield,25,Spurs,Premier League,Man Utd,Premier League,2006-2007,26500000.0,27200000
